Approved symbol	Approved name	Previous symbols	Alias symbols
ACTR5	actin related protein 5		FLJ12785, Arp5, INO80M
ACTR6	actin related protein 6		ARP6, FLJ13433
ACTR6P1	ACTR6 pseudogene 1		
ACTR8	actin related protein 8		INO80N, ARP8
ACTR10	actin related protein 10		HARP11, ACTR11, Arp11, Arp10
ACTRT1	actin related protein T1		AIP1, KIAA0705, ARIP1, Arp-T1
ACTRT1P1	ACTRT1 pseudogene 1		
ACTRT2	actin related protein T2		Arp-T2, ARPM2, FLJ25424
ACTRT3	actin related protein T3		ARPM1
ACVR1	activin A receptor type 1	ACVRLK2	SKR1, ALK2, ACVR1A
ACVR1B	activin A receptor type 1B	ACVRLK4	ALK4, SKR2, ActRIB
ACVR1C	activin A receptor type 1C		ALK7, ACVRLK7
ACVR2A	activin A receptor type 2A	ACVR2	ACTRII
ACVR2B	activin A receptor type 2B		ActR-IIB
ACVR2B-AS1	ACVR2B antisense RNA 1		
ACVRL1	activin A receptor like type 1	ACVRLK1, ORW2	HHT2, ALK1, HHT
ACY1	aminoacylase 1		
ACY3	aminoacylase 3		HCBP1, MGC9740, ACY-3, ASPA2
ACYP1	acylphosphatase 1		
ACYP2	acylphosphatase 2		
ADA	adenosine deaminase		ADA1
ADA2	adenosine deaminase 2	IDGFL, CECR1	ADGF
ADAD1	adenosine deaminase domain containing 1		Tenr
ADAD1-AS1	ADAD1 and BLTP1 antisense RNA 1		
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1		
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2		
ADAD2	adenosine deaminase domain containing 2		TENRL, FLJ00337
ADAD2-AS1	ADAD2 antisense RNA 1		
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)		
ADAM2	ADAM metallopeptidase domain 2	FTNB	PH-30b, PH30, CT15
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	CYRN1	ADAM3, tMDCI
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	CYRN2	
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	ADAM5P	tMDCII
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	C14orf96	tMDCIV
ADAM7	ADAM metallopeptidase domain 7		GP-83, EAPI
ADAM7-AS1	ADAM7, ADAMDEC1 and ADAM28 antisense RNA 1		
ADAM7-AS2	ADAM7 antisense RNA 2		
ADAM8	ADAM metallopeptidase domain 8		CD156, MS2, CD156A
ADAM9	ADAM metallopeptidase domain 9	CORD9	MDC9, KIAA0021, MCMP, Mltng
ADAM10	ADAM metallopeptidase domain 10		kuz, MADM, HsT18717, CD156C
